id	customerJobCode	active	postingDate_year	postingDate_month	postingDate_day	expirationDate_year	expirationDate_month	expirationDate_day	postingTimestamp	expirationTimestamp	company_id	company_name	position_title	position_location_country_code	position_location_name	position_jobFunctions_values	position_industries_values	position_jobType_code	position_jobType_name	position_experienceLevel_code	position_experienceLevel_name	skillsAndExperience	descriptionSnippet	description	salary	jobPoster_id	jobPoster_firstName	jobPoster_lastName	jobPoster_headline	referralBonus	siteJobUrl	locationDescription
4169515	NA	True	2012	11	13	2012	12	13	1352838827000	1355430837000	164560	Jumptap	Senior Data Scientist	us	Greater Boston Area	[{"code": "eng", "name": "Engineering"}]	[{"code": "6", "id": 6, "name": "Internet"}]	F	Full-time	4	Mid-Senior level	NA	NA	<p>Jumptap is looking for a Senior Data Scientist to join the DataPlatform team, based in Cambridge MA. You will be responsible for designing and implementing processes and data models for complex, large-scale data sets used for modeling, data mining, and research purposes. You will perform data mining across the petabytes of ad request data received by Jumptap and will design and write analytical software to optimize ad selection, delivery, and pricing. You are right for this position if you enjoy diving into data, finding powerful insights, communicating those findings, and making sure the process is repeatable. <p></p></p><p><strong></strong> </p><p><strong>Principal Duties and Responsibilities:</strong> </p><ul><li>Dig through our large data sets (cleaning them if necessary) and develop insights that can be used to improve our ad selection, delivery, and pricing </li><li>Develop algorithms based on these insights to improve ad selection, delivery, and pricing </li><li>Develop algorithms to predict user behavior </li><li>Design and run experiments to compare algorithms and improve their effectiveness </li><li>Bring successful algorithms from proof of concept all the way to product delivery </li><li>Apply machine learning techniques to improve the ongoing efficacy of the algorithms </li><li>Contribute to Jumptaps technical vision </li></ul><p><strong>Required Skills and Experience:</strong> </p><ul><li>Masters or PhD Degree in Machine Learning, Operations Research, Applied Math, or other similar fields </li><li>Experience with large (TB or PB) datasets, and especially with using Hadoop to explore them </li><li>Ability to communicate complex ideas to a non-technical audience </li><li>Excellent understanding of algorithms and data structures </li><li>Working knowledge of data mining techniques, for example regression analysis, clustering, decision trees, neural networks, SVM. </li><li>Experience in one or more of the following areas: markets, auctions, advertising </li><li>Strong problem solving and analytical skills </li><li>Experience with UNIX environments (Linux) </li><li>Experience with software development in Java </li><li>Good hacking skills </li><li>Experience with analysis tools such as R, Matlab, SAS, Weka, or related tools </li></ul><p><em>Jumptap is an Equal Opportunity Employer that offers competitive wages and excellent benefits.</em></p>	NA	qCCqbsUt2W	Anthony	T.	Recruiting Sourcer at Jumptap	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4169515&trk=api*a225514*s233466*	Greater Boston Area
4169016	NA	True	2012	11	13	2012	12	13	1352834763000	1355426764000	51558	Droga5	Data Scientist	us	Greater New York City Area	[{"code": "advr", "name": "Advertising"}]	[{"code": "80", "id": 80, "name": "Marketing and Advertising"}]	F	Full-time	4	Mid-Senior level	<ul><li>Three to five years of work experience or equivalent schooling in economics, statistics, or computer science </li><li>Strong verbal and written communication skills </li><li>A friendly, down-to-earth nature </li><li>Degree in a technical or quantitative field: Computer Information Systems, Statistics, Applied Mathematics, Econometrics, Biostatistics, Computing and Information Theory, Information Systems </li><li>Skilled in Python, machine learning, web extraction, and API </li><li>2+ years inconsumer marketing environment  advertising, marketing, media </li><li>Experience with analytic environments required, for both structured (relational data warehouses, SQL, SAS, etc.) and unstructured data (Hadoop, Omniture, Asterdata, etc.) </li><li>Experience withreporting / MIS tools (e.g. Microstrategy, Cognos , Business Objects, Tableau) </li><li>Experience in website and click-stream data. </li><li>Deep knowledge of classical statistical methods, Bayesian analysis, machine learning and data mining. </li><li>Expert knowledge of R or Matlab is required. </li><li>Proficiency in data management, SQL and shell scripting. </li><li>Attention to detail, data accuracy and quality of output.</li></ul>	NA	<p>You will be joining the Data Strategy team in the capacity of Data Scientist. Data Strategy is part of the Strategic Planning group at Droga5. Data Scientists are responsible for modeling data to discover insights about human behavior and visualizing those insights, working with clients to create forecasting models for creative ideas, and helping the Droga5 team understand the power of analytics. In essence, you will be part of the team to transform Big data and little data into meaningful insights and benchmarks for creative inspiration. </p><p> </p><p>We need data wranglers and data whisperers who can identify data sources, clean the data and bring it to an analyzable state, and start making beautiful visualizations in a way that distills the data into useful insights, enable better creative work, optimize interactive performance, and evaluate effectiveness. </p><p> </p><p>This is a hands-on strategic position  youll be working side-by-side with planning and creative teams. </p><p> </p><p>What you will learn and do here: tell stories with data. simplify. participate in the creative process. make stuff. </p><p> </p><p>Responsibilities: </p><ul><li>Work with clients and vendors to gather relevant data </li><li>Clean the data </li><li>Model the data </li><li>Visualize the data </li><li>Work with other strategists (digital and brand), creative team, production, and account services to set measurable benchmarks for campaign effectiveness </li><li>Forecast business opportunities for creative ideas beyond and including communications messages </li><li>Incorporate in with third-party data including social analytics, Google analytics and other web analytics platforms to optimize campaign </li><li>Work with vendors to augment the analytical practice</li></ul>	NA	HI5sXrk8Tp	Liza	R.	Sr. HR Manager	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4169016&trk=api*a225514*s233466*	Greater New York City Area
4168919	NA	True	2012	11	13	2012	12	13	1352834345000	1355426346000	5397	The Cobalt Group	Data Scientist	us	Greater Boston Area	[{"code": "eng", "name": "Engineering"}]	[{"code": "6", "id": 6, "name": "Internet"}]	F	Full-time	4	Mid-Senior level	<p>- BS/BA in Computer Science, Math, or another technical major, or demonstrated analytical and technical ability </p><p>- 0-3+ years work experiencerequired </p><p>- Leadership/Management experience required as we want people who can takeon aleadership role. </p><p>- Demonstrated experience in AI techniques, semantics, statistical analysis preferred </p><p>- Working knowledge of data mining techniques, including regression analysis, clustering, decision trees, neural networks, SVM </p><p>- Strong data analysis skills (Excel, Matlab/R) </p><p>- Strong hacking skills (Python/Ruby/Java) </p><p>- Strong foundation in statistics </p><p>- Experience developing predictive models </p><p>- Strong SQL skills </p><p>- Distributed data processing technologies a plus </p><p>- Entrepreneurial mindset </p><p>- Great teamwork skills essential </p><p>- Excellent communication and the ability to communicate technical results to non-technical team members crucial</p>	NA	<p>Do you enjoy finding opportunities to exploit by digging through large data sets? Are you a hacker who can throw together a system that leverages and automates your findings? Does the idea of being one step ahead of the competition excite you? </p><p> </p><p>Fast growing Internet marketing company in Cambridge (Kendall Square), MA is seeking an exceptional Data Scientist to be a key addition to our fast-growing team. This person will use their quantitative skills to analyze and manage online traffic acquisition and optimization strategies. </p><p> </p><p>The role is ideal for someone who enjoys finding trends in large datasets and is comfortable working in a highly dynamic environment. You will be able to take action on your findings to see immediate results, adding revenue to the business right away. We use a variety of in-house tools, in addition to off the shelf software such as R, Hadoop, Excel and Pig to help us with our analysis. </p><p> </p><p>You will be an integral part of a fast-growing, entrepreneurial team, and youll have the influence and tools available to help rapidly grow our business. We are looking for someone with analytical ability, an interest in modeling consumer behavior, and the enthusiasm to push us forward. </p><p> </p><p>Much of the repetitive campaign management and reporting work involved in online marketing campaigns is automated with our innovative system. We use truly cutting edge custom-built web analytics software to manage the business. We are not looking for someone to generate reports and PowerPoint presentations. We need smart, quantitative people to rip through data and find trends and nuggets of insight that will help us grow. </p><p> </p><p><strong>Responsibilities</strong> </p><p>- Help drive the strategic direction of the company by identifying opportunities in large, rich data sets </p><p>- Implement automated systems to exploit opportunities that you discover </p><p>- Design, implement and analyze tests to measure hypotheses for optimizing problems, ranging from setting bids in the online marketing auction to predicting consumer behavior on our websites </p><p>- Aid in developing internal tools for data analysis</p>	NA	YTgrlG5Vr-	Monita	N.	Sr. Technical Recruiter (Corporate)|Specialize in Technology and Software Engineers - mnhem@cobalt.com	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4168919&trk=api*a225514*s233466*	Greater Boston Area
4168416	NA	True	2012	11	13	2012	12	13	1352830037000	1355422038000	2520617	Adelphic Mobile	Data Scientist	us	Greater Boston Area	[{"code": "eng", "name": "Engineering"}]	[{"code": "6", "id": 6, "name": "Internet"}]	F	Full-time	4	Mid-Senior level	<ul><li>Ph. D degree in electrical engineering/computer science with focus (on Machine Learning/Artificial Intelligence, Signal Processing, Nature Language Processing, Information Retrieval), Statistics, Operations Research, or equivalent quantitative discipline </li><li>Solid theoretical foundation in statistical modeling/machine learning algorithms </li><li>Love coding, with 5+ years hands on experience in at least 2 of Java, C/C++, Python, Shell scripts </li><li>5+ years experience open source or commercial machine learning/statistical modeling packages and/or libraries </li><li>Solid foundation in rdbms systems and exposure noSql systems with 3+ years using these tools in solving significant problems </li><li>Experience in developing commercial Internet/Mobile applications, mobile computing and/or cloud computing a plus</li></ul>	NA	<p> </p><p>Adelphic Mobile enables efficient buying and selling of targeted mobile media at scale through our powerful and Intelligent Predictive Data Platform. </p><p> </p><p>The Predictive Data Platform offers a suite of solutions for advertisers to achieve their campaign goals and for media owners to better understand, mange and monetize their ad inventory. Additionally, our AudienceCube is a new targeting technology that systematically extracts data predictive of campaign performance, and makes it available real-time so it becomes more targetable and valuable overall.</p>	NA	UkL175wOuc	Leslie	M.	Recruiting Lead at Adelphic Mobile	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4168416&trk=api*a225514*s233466*	Greater Boston Area
3978393	LCW89	True	2012	10	17	2013	2	14	1350499938000	1360867938000	122993	SilverSearch, Inc.	Senior Software Engineer /  Data Scientist (NLP, Machine Learning, Big Data)	us	Greater New York City Area	[{"code": "it", "name": "Information Technology"}]	[{"code": "96", "id": 96, "name": "Information Technology and Services"}]	F	Full-time	4	Mid-Senior level	<p>NLP/Machine Learning, text based sentiment analysis, developing algorithms, finding patterns to predict future outcomes, and data mining, core Java (C++ or Python).</p>	NA	<p><em><strong>Senior Software Engineer / Data Scientist (NLP, Machine Learning, Big Data)</strong></em> </p><p> </p><p>Unique opportunity for Software Engineer / Data Scientist to join global Technology firm building out new <strong>Search</strong> and <strong>Big Data</strong> solutions for revenue generating products. This opportunity combines strong core Java software engineering skills with a highly analytical data specialist. You will research, design and develop BIG DATA solutions incorporating new SEARCH functionalities and capabilities. An advanced degree along with skills in the following areas will make you successful: <em><strong>search, indexing, classification, storage, retrieval, Natural Language Processing (NLP), Machine Learning, and large data sets.</strong></em> </p><p>If you love designing and developing algorithms, finding patterns to predict future outcomes, and data mining please inquire about this opportunity. </p><p> </p><p>175-200k </p><p> </p><p>Phenomenal benefits, Research &amp; Development, Collaborative Environment, Promotion by Accomplishment! </p><p> </p><p>Relocation and Visa assistance is available </p><p> </p><p>Java/C++/Python </p><p> </p><p>Contact: brian@silversearchinc.com</p>	175-200k	54Qy59dJMx	Brian	W.	Vice President -SilverSearch, Inc.	Yes	http://www.linkedin.com/jobs?viewJob=&jobId=3978393&trk=api*a225514*s233466*	New York City, NY
3839407	NA	True	2012	9	27	2015	1	15	1348754136000	1421330137000	80305	Connections of New York	Data Scientist 	us	Greater New York City Area	[{"code": "it", "name": "Information Technology"}]	[{"code": "6", "id": 6, "name": "Internet"}]	F	Full-time	4	Mid-Senior level	<p>1-5 years experience working with large scale complex data sets. </p><p><br>Hadoop/MapReduce/Hive. </p><p>Machine Learning </p><p>MySQL or PostGreSQL. </p><p>One or more of Pentaho, Cognos, Business Objects BI platforms. </p><p>Demonstrated ability to apply statistical techniques to solve real problems. </p><p>Ability to work independently and in a team to develop innovative solutions. </p><p>Some Java and/ or Python &amp; Rubyis a plus. </p><p> </p><p>Strong understanding of Data Structures and Design patterns. </p><p> </p><p>Unix/Linux command line competent. </p><p> </p><p>Scripting competence  Python </p><p><br>Strong machine learning experience</p>	NA	<p>Looking for a Data Scientist to join our growing team of superstars in the<br> Data Mining/Predictive Analytics Group. The right candidate will be a motivated individual<br> that will service the critical information and infrastructure needs across the<br> organization. In this highly visible position, you will have the opportunity to<br> design and build applications handling the large data volumes generated by some<br> of the Internets largest websites. You will also receive exposure<br> to senior management as you work with various team members from different<br> departments across the whole organization. In order to succeed, you will need<br> to be comfortable juggling several projects at once and handle the occasional<br> quick turnaround. Furthermore, this person will eventually grow into a team lead/manager, so </p><p>experience leading software development teams is a plus. </p><p><br><br><strong>Responsibilities:<br> </strong></p><p><br>Create complex analytic queries on large data sets </p><p><br>Analyze Data trends </p><p> </p><p>DataMining </p><p> </p><p>Design and build processes that extract, transform and load data from production data<br> sources to the data warehouse </p><p> </p><p>Identify performance bottlenecks and optimize key queries </p><p> </p><p>Maintain uptime demands on the BI system </p><p><br>Map/Reduce ETLs in Python (Hadoop streaming), and Hive Query Language </p><p><strong>Technologies:</strong> <p></p></p><p>PostgreSQL </p><p>MySQL or Oracle </p><p>MongoDB<br> Hadoop </p><p>Hive<br> Map Reduce </p><p>Matlab </p><p>Pentaho </p><p>Web/Python/Ruby</p>	NA	MGBtaK23LV	Russ	A.	SVP Executive Search at Connections of New York	NA	http://www.linkedin.com/jobs?viewJob=&jobId=3839407&trk=api*a225514*s233466*	New York, NY
4159364	NA	True	2012	11	12	2012	12	12	1352743584000	1355335584000	3163	University of Pennsylvania Health System	Data Scientist for Patient Satisfaction (10092)	us	Greater Philadelphia Area	[{"code": "it", "name": "Information Technology"}]	[{"code": "14", "id": 14, "name": "Hospital & Health Care"}]	F	Full-time	4	Mid-Senior level	<p>Minimum Degree Requirements and Experience Required: <br>  Bachelors Degree in Nursing, Life Sciences, Mathematics, Computer Sciences or related discipline required, masters level degrees are preferred<br> <br><br>Experience Required: <br><br>o Option 1: Five years clinical experience in Nursing, Medicine, Human Studies including the use of statistical analysis.<br> o Option 2: Two to four years experience in large set data analysis in complex clinical setting and a general understanding and knowledge of clinical operations.<br> o Option 3: Completion of Masters Program in Mathematics, Public Health or other related field and one (1) or more years experience in large set data analysis in complex clinical setting and a general understanding and knowledge of clinical operations.<br> <br><br>Skill Requirements:<br> <br> Strong technical knowledge / skills involving application of data management tools<br>  Candidates can expect to work with SQL, Business objects, custom vendor databases, and custom Penn Medicine databases<br>  Knowledge of the principles of quality, safety, risk management and compliance <br> Ability to analyze large data sets to provide meaningful results<br>  Ability to present complex information in a visual format<br>  Must be able to present information verbally to groups of varying size and audience, including clinicians<br>  Must be able to manage complex projects through project life cycle assuring on time and on budget completion</p>	NA	<p>The Data Scientist for Patient Satisfactions chief responsibility is to champion the patient safety initiatives and oversee the collection of patient satisfaction data at the system and entity level.. This position includes executing on the strategic direction of the health system in relation to the patient experience. It also involves executing specific projects that enhance Penn Medicines ability to perform well in patient satisfaction and reimbursement areas. The Data Scientist for Patient Satisfaction will collaborate with key stakeholders to define the Patient Experience for Penn Medicine, as well as executive leadership at each entity to coordinate efforts and resources to develop Penn Medicine standards.<br> <br>This is a position which requires advanced problem solving and analytic skills, and requires significant individual judgment.<br> <br><br>Key areas of responsibility include: <br><br> Support the division of UPHS Clinical Effectiveness and Quality Improvement<br>  Ensures internal clients find the UPHS CEQI effective and useful <br> Responsible for the data integrity of Patient Satisfaction data across the health system to include uniform process for collecting and reporting data in both inpatient and outpatient settings<br>  Responsible using the collection and aggregation of data to identify trends at a system level <br> Provide meaningful and actionable data analysis around patient safety that conveys trends and progress toward organizational goals.<br>  Recommend and implement projects that are supported by the data analysis and benchmarking to improve Penn Medicines Patient Experience.</p>	NA	JzBKJH05Af	Camille	E.	Corporate Recruiter at Penn Medicine, University of Pennsylvania Health System	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4159364&trk=api*a225514*s233466*	Greater Philadelphia Area
4157240	NA	True	2012	11	12	2012	12	12	1352728766000	1355320777000	316012	EagleEye Analytics	Principal Actuarial Data Scientist	us	Columbia, South Carolina Area	[{"code": "anls", "name": "Analyst"}]	[{"code": "42", "id": 42, "name": "Insurance"}]	F	Full-time	6	Executive	<ul><li>BS degree in mathematics, statistics, or actuarial science, an advanced degree is preferred.<strong> </strong>FCAS also preferred but not required </li><li>Must have strong data modeling experience in property and casualty </li></ul><ul><li>Experience using advanced statistical modeling tools such as C#, R, SAS or others. </li></ul><ul><li>Eight to ten years of experience in product development and new model development within the property and casualty insurance industry </li><li>Knowledge of insurance underwriting and risk selection practices </li><li>Experience analyzing portfolios for profit/loss and pricing working for an insurance company or consulting company focused on insurance clients </li><li>Ability to translate actuarial concepts into business solutions </li><li>Candidate must be able to travel as required. (25% travel anticipated) </li><li>Strong interpersonal skills and the ability to interface immediately with clients and with all levels internally </li><li>The skills and willingness to develop and act as technical mentor to other modelers</li></ul>	NA	<p><strong>Job Title:</strong>  Principal Actuarial Data Scientist </p><p><strong>Reports To:</strong>         EVP and Chief Operating Officer </p><p><strong>Location:</strong>  Columbia, SC </p><p><strong>Responsibilities: </strong></p><p> </p><p>The Principal Actuarial Data Scientist possesses the highest level of predictive modeling expertise and deals with the most complex and critical assignments within the company. </p><p>This person must be able to prioritize, take initiative and solve problems under pressure. </p><p>Major Responsibilities include: </p><ul><li>Perform advanced predictive analytics modeling using the companys Talon software to solve complex business problems for our P&amp;C Insurance clients </li><li>Validation and interpretation of results </li><li>Consultation with clients on results/use of the analysis results </li></ul><ul><li>Analysis of customer data for statistical validity </li><li>Act as technical lead for meetings and presentations for clients as needed. </li><li>Interpret client feedback and recommend product management &amp; development approaches </li><li>Communication with customers and technical staffs related to all of the above. </li><li>Works closely with the Product Development Staff to develop next generation product solutions </li><li>Provides technical mentoring for other modelers </li><li>Lead projects and teams as assigned </li></ul><p></p>	Salary, Bonus, plus Equity	BMSRaqN_yP	Bob	F.	Managing Principal at Twinbrook Associates	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4157240&trk=api*a225514*s233466*	Columbia, South Carolina Area
4156103	566657	True	2012	11	12	2012	12	12	1352721387000	1355313387000	NA	Pearson	Data Scientist Job	us	Greater Denver Area	[{"code": "rsch", "name": "Research"}]	[{"code": "82", "id": 82, "name": "Publishing"}]	F	Full-time	2	Entry level	NA	NA	Data Scientist<br><br><strong>Job ID</strong>: 2012-9386 <br><strong># of Positions: </strong> 1<br><strong>Posted Date:</strong> 7/24/2012 <br><strong>Job Location:</strong> US-CO-Centennial<br><strong>Position Type :</strong> Regular Full Time <br><strong>Category:</strong> Information Technology<br><br><strong>Overview</strong><br><br>Pearson has one defining goal: to help people progress in their lives through learning. We champion innovation and we invest in models for education that deliver on our promise for effective, accessible, and personal learning from early literacy, college and career readiness to professional education, through data informed instruction and inventive applications for mobile and digital learning.<br><br>Pearson, the world's leading learning company, has global-reach and market leading businesses in education, business, and consumer publishing and is listed on the London and New York stock exchanges (UK: PSON; NYSE: PSO). For more information, visit www.pearson.com.<br><br>Pearson is an Equal Opportunity Employer M/F/V/D, and a member of E-Verify.<br><br>The Data Mining Analyst will focus on data mining/predictive analytics against large data sets generated by the Pearson eCollege platform. Through the use of institutional knowledge, data mining and predictive modeling techniques , this role will develop exploratory algorithms to establish key business metrics, and develop associated modeling tools.<br><br><strong>Responsibilities</strong><br><br>DUTIES AND RESPONSIBILITIES<br>Use advanced experience with statistical analyses and modeling techniques to analyze large data sets to predict, quantify, and/or forecast key business metrics, while ensuring clear record of all processes<br>Work closely with education partners to provide expertise and assistance in implementing model results in ongoing educational programs<br>Maintain data/model quality and reliability to measure the impact of change from recommended implementations. Help identify the optimal actions needed to improve towards desired outcomes. This will include projects like A/B testing and other comparisons between different strategies<br>Work with the design teams to create compelling data visualizations as needed to present findings to customers both internally and externally<br>Other duties as assigned<br><br><strong>Qualifications</strong><br><br>EDUCATION and/or EXPERIENCE<br>Bachelors Degree and Minimum of four (4) years in data analytics or equivalent education and experience to successfully perform the essential duties of the job.<br><br>KNOWLEDGE, SKILLS AND ABILITIES<br>Expert in two or more data analytics toolsets (R, SPSS, SAS, etc)<br>Advanced SQL skills<br>Ability to present high-level ideas clearly and concisely<br>Advanced knowledge of advanced statistical analysis techniques, and the ability to communicate these concepts to clients<br>Understanding of school operational procedures (both day to day and long term)<br>Excellent customer service attitude, communication skills, and interpersonal skills<br>Excellent organizational and time management skills<br>Excellent analytical and problem-solving skills<br>Excellent oral and written communications skills<br>Excellent consulting skills; including the ability to drive to solutions based on needs-assessment with clients<br>Ability to work in a cross-functional team<br>Ability to define, interpret, and explain data<br>Ability to communicate business intelligence needs and ideas to external clients and internal technical team members<br>Ability to make timely and sound decisions<br>Ability to work efficiently in a fast paced environment<br>Ability to work independently<br><br>Ability to consult with clients about trending, monitoring and an overall reporting strategy<br>Advanced knowledge of business intelligence software software<br>Advanced knowledge of distance learning data models a plus	NA	jP1pFREEpl	David	Z.	Technologist at Enigma Associates	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4156103&trk=api*a225514*s233466*	US -Colorado- Centennial
4155845	RM-DataScientist-CA	True	2012	11	12	2012	12	12	1352720700000	1355312701000	21836	CyberCoders	Data Analytics Scientist - Large data sets, MapReduce, Hadoop	us	San Francisco Bay Area	[{"code": "it", "name": "Information Technology"}]	[{"code": "4", "id": 4, "name": "Computer Software"}]	F	Full-time	4	Mid-Senior level	NA	NA	Data Analytics Scientist - Large data sets, MapReduce, Hadoop Rockstar Front-End Developer needed for a Mobile Start-Up - HTML5, CSS, Javascript, PhoneGap, Mobile - Skills Required - Data Analytics Scientist, Data Analytics, Large data sets, Distributed computing, MapReduce, Hadoop, SQL, High dimensionionality data, Empirical Research, Quantitative Analysis<br><br>Data Analytics Scientist - Large data sets, MapReduce, Hadoop, SQL, Empirical Research<br><br>Based in Palo Alto, CA, we are one of the most exciting start-up companies to hit the news.  We are a well-funded company with a unique idea targeted towards the health services industry.  We have exceptional leadership who have already built two other start-up companies from scratch and made them into success stories.  Currently, we are looking to hire for an extremely bright Data Analytics Scientist with strong data analytics, distributed computing, large data sets, SQL, and empirical research skills to join our team.  Any experience with MapReduce, Hadoop, or Hive would be a huge plus.<br><br>We are willing to offer excellent compensation packages including a base salary that ranges between $100k-$160k, Bonuses, Benefits, and excellent Stock Options with an early stage start-up company where the stock actually means something.  We are located in the heart of Downtown Palo Alto, a stone's throw from the University Ave Caltrain stop.<br><br>Qualifications and Experience:<br>1.)  Undergraduate / Graduate degree from a top university and relevant experience working on data analytics and knowledge of and experience with analytical tools, relational databases, SQL, and tradecraft and tools.<br><br>2.)  Extensive experience solving analytical problems using quantitative approaches <br><br>3.)  Comfort working with and analyzing complex, high-volume, high-dimensionality data from varying sources, a strong passion for empirical research and for answering hard questions with data, and a flexible analytic approach that allows for results at varying levels of precision <br><br>4.)  Big plus: experience working with large data sets, experience working with distributed computing tools (Map/Reduce, Hadoop, Hive, etc.) <br><br>Key Responsibilities:<br>1.)  Work closely with our product, engineering, and marketing teams to identify, collect data around, analyze and answer critical product questions <br><br>2.)  Answer product questions by using appropriate statistical techniques on available data and drive the collection of new data and the refinement of existing data sources and analyze and interpret the results of product experiments <br><br>3.)  Develop best practices for instrumentation and experimentation and communicate those to product, engineering, and marketing teams <br><br>If you are a strong Data Analytics Scientist with large data sets experience, please apply immediately for this amazing opportunity.<br><br>  <strong>Want to interview today? Click Here to Do a Quick 2-Minute Online Interview!</strong>  <p><strong>Are you a fit for this position?</strong></p>  <p>  <strong>Please Click Here to Apply!<br><br></strong>                                          http://www.CyberCoders.com/developer/profile/jobApply.aspx?jump=1&amp;menu=0&amp;ad=linkedinRoy&amp;posId=RM-DataScientist-CA<br>  (your information will be kept strictly confidential!)  <br><br>  </p>  <p>Looking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:</p>  <p>Email your resume in Word to:</p>  <p>Roy.Monroy@CyberCoders.com<br>  **Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : RM-DataScientist-CA -- in the email subject line for your application to be considered.***  </p>  <p>Roy Monroy - Director of Recruiting - CyberCoders</p>  <br><br><p>CyberCoders, Inc is proud to be an Equal Opportunity Employer.  Applicants are considered for all positions without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, ancestry, marital or veteran status.</p>	NA	6XxJ_x5jRn	Roy	M.	Director of Recruiting - Technology Guru - 949-885-5143	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4155845&trk=api*a225514*s233466*	Palo Alto, CA
