id	customerJobCode	active	postingDate_year	postingDate_month	postingDate_day	expirationDate_year	expirationDate_month	expirationDate_day	postingTimestamp	expirationTimestamp	company_id	company_name	position_title	position_location_country_code	position_location_name	position_jobFunctions_values	position_industries_values	position_jobType_code	position_jobType_name	position_experienceLevel_code	position_experienceLevel_name	skillsAndExperience	descriptionSnippet	description	salary	jobPoster_id	jobPoster_firstName	jobPoster_lastName	jobPoster_headline	referralBonus	siteJobUrl	locationDescription
4170785	NA	True	2012	11	13	2012	12	13	1352849125000	1355441129000	12890	Cabela's	Marketing Statistician	us	Greater Denver Area	[{"code": "rsch", "name": "Research"}]	[{"code": "27", "id": 27, "name": "Retail"}]	F	Full-time	4	Mid-Senior level	<ul><li>This individual will lead the formulation and execution of advanced analytics for marketing campaigns across the catalog, internet, and retail channels to drive sales across channels. </li><li>Provide technical expertise to non-technical audiences with the ability to explain the results of analytic output to these audiences using the appropriate media, including, but not limited to the use of GIS mapping software to provide high-impact results that influence management decisions. </li><li>Actively participate in cross-department teams, providing analytical expertise, offering unique perspectives, and challenging the status quo to deliver actionable strategies that address business objectives. </li><li>Innovate and implement ideas that reduce manually intensive operations and increase the efficiency of the statistical team. </li><li>Monitor and evaluate trends and innovations within statistical methodologies and determine how they can be applied to the market research department to improve modeling results. </li><li>Provide statistical guidance to other members of the marketing department to address questions that arise from surveys, campaign testing, and other marketing analysis projects. </li><li>Apply a variety of advanced statistical modeling techniques to develop marketing insights, recommendations, and hypotheses. </li><li>Develop organizational and project management skills to manage multiple, complex analytical projects, determining and allocating resources to complete within scheduled timeframes. </li></ul><p> </p><p><strong>Education &amp; Experience:</strong> </p><ul><li>Master's Degree preferred OR </li><li>Bachelor's degree with 5 - 10 years experience </li></ul><p></p>	NA	<p>If you have a passion for the outdoors and a desire to work for the biggest name in the industry, then Cabelas, the Worlds Foremost Outfitter of Hunting, Fishing and Outdoor Gear, may have the job for you. Were you Born to Work Here? Cabelas has an opening for a <strong>Marketing Statistician in the Analytics, Data &amp;SciencesDepartment</strong> at our corporate office in Sidney, NE.<br> <br>Lead the development and research of advanced analytic processes to support marketing strategies, retail site selection, and product optimization across the multi-channel business model. Accountable for the integrity, accuracy, and timely execution of these processes to provide data-driven insights to management to make more informed decisions. </p><p> </p><p><strong>Cabelas is an Equal Opportunity Employer (EOE) and we seek to create an inclusive work place that embraces diverse backgrounds, life experiences and perspectives.</strong><br> <br><strong>Cabela's offers a competitive benefits package to include: 401k, vacation, profit sharing, health and dental coverage for you and your family, relocation assistance, and employee discounts.</strong></p>	NA	Of79-LWHlD	Andrea	T.	Corporate Recruiter at Cabela's	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4170785&trk=api*a225514*s233466*	Sidney, NE
4169494	NA	True	2012	11	13	2012	12	13	1352838713000	1355430714000	98704	Analytic Recruiting	Marketing Statistician/Decision Scientist	us	Greater New York City Area	[{"code": "advr", "name": "Advertising"}]	[{"code": "80", "id": 80, "name": "Marketing and Advertising"}]	F	Full-time	4	Mid-Senior level	<ul><li>Masters Degree in Statistics, Operations Research, Economics, Social Sciences or similar degree with a focus on statistical methodology. PhD preferred. </li><li>Proven track record in advanced marketing analytics with a consulting firm, agency or on client side (marketing/media) strongly preferred, with 8+ years experience. Candidates who have just completed an advanced analytics degree (Phd) in an associated practice area (marketing or business consulting) will be considered as well. </li><li>Strong theoretical and practical knowledge of analytical techniques like mix modeling, Bayesian and MCMC techniques, agent based approaches, predictive response modeling, sales response modeling, experimental design, cross-sectional and time series analysis, discrete choice modeling, data mining and optimization techniques </li><li>Hands-on expertise working with statistical software like SAS, SPSS, Bayesia, ThinkVine, Concentric, etc. to develop and estimate models. </li><li>Experience with basic SQL querying and programming </li><li>Demonstrated experience in translating analytical model findings to business insights and communicating them to non-technical audiences </li><li>Experience dealing with complex marketing modeling issues such as multiple channel attribution issues, non-linearity, long-term effects and uncertainty. </li></ul><p>Experience developing and implementing statistical solutions for use in the automation of marketing decisions<br> </p>	NA	<p>Richmond-based agency seeks senior level advanced analytics professional with hands-on experience in marketing mix and econometric modeling, advanced customer analytics, revenue forecasting/modeling, demand modeling, marketing optimization channel attribution and allocation methodologies and optimizations. The Decision Scientist will deliver client-specific analyses including: campaign effectiveness analysis, customer segmentation and profiling, retention analysis, lifetime value analysis, and competitive market research related to input and development of decision modeling. The role requires business acumen, top-tier analytical and problem-solving skills and a collaborative partnering style in addition to strong verbal communications and experience with executive presentations. The ideal candidate is versed in business, finance and/or marketing strategy to which the analytics insights will be applied.</p>	Competitive	xXnqTapU_C	Howard	F.	Executive Recruiter, Analytic Recruiting	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4169494&trk=api*a225514*s233466*	New York, NY OR Richmond, VA
4168628	27051	True	2012	11	13	2012	12	13	1352831822000	1355423823000	31265	First Solar Inc	Continuous Improvement Statistician	us	Toledo, Ohio Area	[{"code": "eng", "name": "Engineering"}]	[{"code": "144", "id": 144, "name": "Renewables & Environment"}]	F	Full-time	3	Associate	Please visit www.firstsolar.jobs<br><br>	NA	Our high growth and leadership position in the renewable energy business offers outstanding opportunities to individuals seeking an exciting work environment in one of the most important industries for the 21st century. First Solar is a leader in the development and manufacturing of thin film solar modules used in grid-connected solar power plants, as well as a provider of complete solar generation solutions for U.S. utilities. Our culture is one where teamwork, continuous improvement, achievement of results, and environmental responsibility are core values. We are seeking new associates who are motivated to contribute their talents to making cost-effective solar energy an important part of the worlds energy mix.<br><br><br><br><strong>Basic Job Functions:</strong><br>Position will apply world class analytical tools towards solving business related problems assisting the organization in measuring performance, analyzing results, implementing improvements and establishing control mechanisms. Individual is expected to possess and to develop world class analytical tools that will be utilized in facilitating process improvement teams by providing statistically sound evidence validating the most effective solution paths and serving as an unbiased and independent agent of change. <br><br>The Continuous Improvement Analyst II will assist First Solar associates by aiding in the standardization of the use of the best analytical tools that can be made available for global consumption of development and manufacturing engineering.<br><br><strong>Experience:</strong><br> Masters Level with 3+ years or BS Level with 5+ years of relevant work experience in related statistical analysis preferred. Data mining and understanding of automated business solutions or programming.<br><br><strong>Education:</strong><br> A Masters of Science, or Bachelors of Science degree in Statistics and/or Operational Research, Engineering or a discipline with grounding in Statistics. <br> Six Sigma Green Belt Certification preferred but not required.<br><br><strong>Required Skills:</strong><br> Strong written and verbal communication skills, interpersonal, facilitation, presentation, quantitative, analytical, organizational &amp; follow-up skills, and the ability to meet deadlines on multiple projects/programs.<br> Skills in analyzing large amounts of data and communicating the results in a concise manner<br> Experience with design of experiments (DOE) principles.<br> Desired skill set includes MS SQL, SAS programming, and JMP.<br> Skills with MS Office, Excel, Word, and Power Point etc.<br> Some familiarity with Design for Six Sigma is preferred but not required<br><br><strong>Essential Functions &amp; Responsibilities:</strong><br> Act independently and with minimal management direction to provide expert, hands-on implementation of statistical methods and related analytical tools to capitalize on improvement opportunities.<br> Facilitate the need for change by discovering and highlighting entitlement opportunities by utilizing data mining and analysis techniques<br> Apply statistical principles to the evaluation and solution of technical problems.<br> Support team members in the application of analytical tools towards the support of solving business problems. <br> Standardize analytical tools in the support of converting data into a business intelligence system useful for solving business problems<br> Assist project improvement teams to deliver results and standardize the use of JMP Scripts and/or analytical tools in the measure of the projects progress.<br> Assist assigned functions/project areas to develop and maintain process measurements and controls to monitor current processes.<br> Assist cross-functional project teams to achieve breakthrough process improvements using advanced process control methodologies.<br> Earn and maintain a high level of peer respect to be a leader in critical work process improvement initiatives.<br> Facilitate and lead training sessions in DOE, FMEA, SPC, DMAIC, MSA, and Statistics<br> Support, develop, and enhance business management methodologies and training materials as related to design processes and improvement initiatives.<br> Be a paradigm shifter to help others discover a better improvement process. Challenge conventional wisdom by demonstrating successful application of new methodologies, create innovative thinking, and serve as role models for others.<br><br><strong>Physical Requirements:</strong><br> Will sit, stand or walk short distances for up to 12 hours per day<br> Will climb stairs on an occasional basis<br> Will exert up to 50 pounds of force to lift, push or pull on a seldom basis<br> Will lift, push or pull up to 27 pounds on a frequent basis<br> Required to use hands to grasp, lift, handle, carry or feel objects repetitively on a frequent basis<br> 20/40 vision in each eye, with or without correction, is required<br> Must be able to comply with all safety standards and procedures<br> May reach above shoulder heights and below the waist on a frequent basis<br> May stoop, kneel, or bend, on an occasional basis<br> Ability to wear personal protective equipment is required (including but not limited to; steel toed shoes, gloves, safety glasses, hearing protection, protective jacket or apron and arm guards)<br> All associates working on the production floor may be required to wear a respirator at any given time and thus, the ability to wear a respirator is a condition of employment and continued employment (requires little or no facial hair)<br><br><br><br><strong>Please note:</strong> potential candidates will meet the education and experience requirements provided on the above job description and excel in completing the listed responsibilities for this role. All candidates receiving an offer of employment must successfully complete a background check, pre-employment drug screen, and any other test that may be required for the role.<br><br><strong>Equal Opportunity Employer Statement:</strong> First Solar Inc. is an Equal Opportunity Employer (EOE) that values and respects the importance of a diverse and inclusive workforce. It is the policy of the company to recruit, hire, train and promote persons in all job titles without regard to race, color, religion, sex, age, national origin, veteran status, disability, sexual orientation, or gender identity. We recognize that diversity and inclusion is a driving force in the success of our company.	0	1e4Y6rusSB	Sandy	C.	Corporate Recruiter at First Solar	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4168628&trk=api*a225514*s233466*	Perrysburg, US-OH
4166753	Statistician	True	2012	11	13	2012	12	13	1352822081000	1355414082000	80305	Connections of New York	Data Analyst / Statistician	us	Greater New York City Area	[{"code": "it", "name": "Information Technology"}]	[{"code": "96", "id": 96, "name": "Information Technology and Services"}]	F	Full-time	4	Mid-Senior level	<ol><li>Excellent communication skills </li><ol><li>Experience with writing professional reports and documents </li><li>Experienced presente / Must be able to give an hour or more presentation on statistics </li></ol><li>Experience interacting with clients on a day to day basis </li><li>Fluency in written and spoken English </li><li>Statistical skills<ol><li>Must have MA or equivalent in statistics </li><li>Must have at least 1-2 years experience with data analysis in a professional setting </li><li>Experienced conveying technical concepts in lay terms </li><li>Must be able to think out of the box statistically to solve practical problems </li></ol></li></ol><ol><li>Must be proficient in at least two the statistical software programs listed below </li></ol><p> i. SPSS </p><p> ii. SAS </p><p> iii. R </p><p> iv. STATA </p><p></p>	NA	<p>Senior Data Analyst / Statistician </p><p> </p><p>Based on a deep understanding of the data model and data products, the Data Analyst will perform data query and analysis of the medical claims database to support a variety of internal functions including litigation-related investigation, statistical modeling, quality assurance, research and development, and executive-level reporting. The Data Analyst will work to review, validate, and model data to expand understanding throughout the organization and to support departmental and executive decision making. The Data Analyst will also be responsible for creating and implementing communications about the data within the company and with various constituencies outside the company. </p><p> </p><p>Primary Responsibilities </p><p> </p><p> In the context of litigation support, report on the underlying data that contributes to medical rate data appearing in Health products. As required, communicate such information to Health customer representatives and other external parties. </p><p> Support Health Senior Statistician in statistical modeling and quality assurance activities by creating extracts of underlying data from the data warehouse that can be manipulated in external tools. </p><p> Support the Contributions team by establishing data quality standards and ensuring that the best practices are continually shared and utilized with pertinent constituencies both in and outside the organization. </p><p> Perform a variety of ad hoc queries against the Health data to inform R&amp;D activities and empower executive-level decision making. </p><p>Knowledge and Skill Requirements </p><p> Extensive experience with SQL and the fundamentals of data query and analysis. </p><p> Extensive experience with Relational Database Management systems and relational data models. </p><p> Strong analytic skills. </p><p> At least one college level statistics course required. Advanced statistical skills preferred. </p><p> Experience with spreadsheet and other office productivity applications by which results will be shared with others in the organization. </p><p> Ability to understand and work with data in a variety of formats and to create charts, graphs, tables, and other visual means of representing key aspects of the data. </p><p> Strong written and verbal communications, including the ability to summarize the results of data analysis for technical and non-technical audiences. Must also be comfortable presenting this information via in person meetings as well as webinar technologies. </p><p> Must be skilled at prioritizing assignments and working to ensure all mission critical timeframes and deadlines are met. Must be able to work independently and demonstrate initiative and problem solving skills working within a fast paced start up environment. </p><p> Experience with medical claims data or other healthcare related data preferred. </p><p> Experience with statistical analysis tools such as SAS and Stata, and with Business Intelligence tools. </p><p> Experience with technical writing preferred </p><p></p>	NA	MGBtaK23LV	Russ	A.	SVP Executive Search at Connections of New York	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4166753&trk=api*a225514*s233466*	Greater New York City Area
4165802	NA	True	2012	11	13	2012	12	13	1352817250000	1355409251000	3486	Hays	Clinical Biostatician Cardiovascular (m/f)	de	Germany	[{"code": "sci", "name": "Science"}]	[{"code": "15", "id": 15, "name": "Pharmaceuticals"}]	F	Full-time	3	Associate	<p>Your Qualifications: </p><ul><li>MSc/PhD in Statistics or Mathematics </li><li>Experience in international clinical development of Phase 2-3b/4 studies </li><li>Excellent statistical-methodological knowledge including an excellent working knowledge of SAS </li><li>Very good communication skills </li><li>Experience in cardiovascular trials </li><li>Fluent English </li><li>Knowledge of German would be an advantage, but is not required</li></ul>	NA	<p>We are global leaders in the recruitment of specialists for temporary employment. We are looking for a </p><p> </p><p>Clinical Biostatician Cardiovascular (m/f) </p><p> </p><p>for an employment with Hays Temp GmbH in Rhineland-Palatinate </p><p>Reference number:197172/1 </p><p>Start date:asap </p><p> </p><p>Your Duties: </p><ul><li>In general, work closely together with and support the Project Statistician for Medical Affairs (PSTAT-MA) </li><li>Support the PSTAT-MA to suggest and specify statistical analyses (incl. meta-analyses and subgroup analyses) of the project database for publications, reimbursement decisions and drug defense strategies </li><li>Review of documents and output </li><li>Collaborate with Lead Programmer</li></ul>	NA	c5IaB7RKSn	Kristina	R.	Recruitment Management at Hays	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4165802&trk=api*a225514*s233466*	Rhineland-Palatinate 
4164402	00377883	True	2012	11	13	2012	12	13	1352808406000	1355400406000	1599	Roche	Statistical Scientist	cn	China	[{"code": "rsch", "name": "Research"}]	[{"code": "15", "id": 15, "name": "Pharmaceuticals"}, {"code": "17", "id": 17, "name": "Medical Devices"}, {"code": "12", "id": 12, "name": "Biotechnology"}]	F	Full-time	0	Not Applicable	NA	NA	<strong></strong><br><br><strong>Basic Function:</strong> <br>The Senior Statistician is responsible for the biostatistical aspects of Clinical Development projects. On project level this includes development of strategies for clinical development plan with clinical team and interaction with clinical/statistical experts. On study level this includes protocol contributions, case report form definition, scheduling of analyses using the Data Reporting Analysis Manual to help maintaining consistency across the project and finally conducting analyses to providing objective interpretation of results and defense of statistical decisions to clinical team, Life Cycle Team and regulatory health authorities. He/She organizes the workflow and plans and monitors resources.. <br><strong> </strong> <br><strong>Primary Responsibilities include:</strong>  <br><strong>Non drug development</strong> <br> Ensures that priorities are consistent with those of Biostatistics  <br> Provides statistical advice and support to members of Biostatistics  <br> Deputizes upon request for the Head of the Biostatistics Section  <br> Assists in ensuring that statistical standards and SOPs are followed within the Section  <br> Assesses, recommends and develops new standards, policies and procedures <br> Programs, validates and documents software in SAS following statistical programming standards and ensures its availability to users. Whenever creating new software, ensures the efficient use of existing software..  <br> Keeps abreast of statistical methodological developments through literature and attendance at meetings. Maintains familiarity with regulatory authority guidelines relating to Biostatistics and with medical issues in own project areas  <br> Maintains proficiency in in-house computer facilities and associated software  <br> Interacts with other departments, including Clinical Science, Regulatory Affairs, Project Management, etc., to ensure good coordination and communication  <br> Maintains contacts with affiliate companies, consultants/contractors, etc.  <br> Assists in ensuring effective communications between staff  <br> Provides input on recruitment of personnel  <br> Assesses, develops and documents new methods and software  <br> Participates in and contributes to internal training programs  <br> Makes presentations at professional forums <br><strong> </strong> <br><strong>Drug development</strong> <br> Provides high quality statistical support to clinical projects.  <br> Gives input and ensures that drug development strategy, protocols, CRFs and clinical registration documents are in line with ICH and health authority guidelines as well as company internal SOPs and guidelines. Reviews and approves protocols, CRFs and clinical registration documents. Pays special attention to all statistical issues  <br> Participates in the preparation of drug development plans, especially the clinical development part, and proposes realistic deadlines for statistics tasks.  <br> Ensures that members of drug development team, clinical team and management understand the interpretation of the statistical methods applied to the project  <br> Ensures consistency within project and as far as possible between projects. Assists in the development and maintenance of project standards. Documents agreed Biostatistics policies and procedures.  <br> Plans and requests line management approval for resource allocation for statistical tasks.  <br> Informs and makes recommendations to the Head of Biostatistics Section on critical issues within the project. Informs management of potential project delays and proposes solutions  <br> Participates, if necessary, in clinical team meetings, project team meetings, study management team meetings and investigator meetings as well as expert meetings and meetings with health authorities  <br> Leads and manages statistical team if acting as project statistician  <br> Ensures that activities performed within a study or project are executed in a timely manner and to the required high statistical and reporting standards  <br> Responsible for the writing of the statistical section of the protocol, stating the hypothesis, defining the planned analysis, primary and secondary variables, time periods, interim analysis specifications, intent-to-treat population and explaining the statistical basis for the choice of sample size.  <br> Writes statistical analysis plan. Ensures that statistical methods, programming algorithms, data presentations, output deliveries, and timing and load of work are sufficient detailed to execute the analysis smoothly  <br> Checks appropriateness of planned analysis. Assesses impact of subjects withdrawn/lost to follow-up and deviations from planned trial design. Checks validity of distribution assumptions and impact of outliers. Documents methods and procedures used in the analysis and decisions made about data handling  <br> Supervises, writes and assists in programming statistical outputs and their validation.  <br> Responsible for the statistical interpretation and the writing of statistical modules for the clinical study report.  <br> Participates in writing publications  <br> Maintains up-to-date project documentation including that of presentation, analysis and graphics software.<br><br><br><strong></strong><br><br>Relevant working experience: Minimum 5 years in Biostatistics and Clinical drug development  <br> Education: MSc (or equivalent) or PhD in Statistics or very similar area.  <br> Requirements on specific subject(s): Knowledge and experience in the use of statistical software (e.g., SAS) as well as knowledge of databases and interface systems; Communicates clearly and effectively in written reports, data presentations and meetings as required; Travel may be required. <br> Language: Able to communicate clearly in both written and spoken English.  <br> Computer skill: Comfortable with Computers; can readily learn new software applications.  <br> Other skills and/or competence:  <br> Self-motivated and take initiative <br> Establishes and maintains good working relationships; is co-operative. Takes cultural and value differences into account in dealings with others.	NA	jP1pFREEpl	David	Z.	Technologist at Enigma Associates	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4164402&trk=api*a225514*s233466*	CN-31-
4163267	RE-12395013	True	2012	11	13	2012	12	13	1352800078000	1355392079000	1012623	Real Staffing	Sr Or Principal Biostats	us	San Francisco Bay Area	[{"code": "sci", "name": "Science"}, {"code": "rsch", "name": "Research"}, {"code": "qa", "name": "Quality Assurance"}]	[{"code": "12", "id": 12, "name": "Biotechnology"}, {"code": "15", "id": 15, "name": "Pharmaceuticals"}, {"code": "17", "id": 17, "name": "Medical Devices"}]	F	Full-time	0	Not Applicable	NA	NA	In this role you would be responsible to :<br><br>Apply complex and innovative statistical approaches to assigned work (e.g, modeling and simulation, adaptive design statistics) and mentor staff in the use of these approaches.<br><br>Participate in meetings and teleconferences with regulatory agencies and prepare written responses to agency questions.<br><br>Execute the statistical analysis plans (SAP) in support of clinical development programs, with a primary emphasis in support of our phase 3 study.<br><br>Prepare the statistical methods and results sections for clinical study reports and overall summaries; this responsibility includes review of protocols and CRFs for soundness of trial design.<br><br>Make presentations and represent biostatistics to therapeutic leads, senior management, external collaborators and thought leaders, FDA meetings, FDA advisory boards and medical and statistical meetings<br><br>This would be a great opportunity for the right statistician to take the next step forward in their career joining a company with a great pipeline, with exciting results on the horizon.<br><br>If interested please apply now or email<br><br>To find out more about Real Staffing please visit www.realstaffing.com	NA	0LLhZ_akiB	Nikki	H.	Media Strategy Manager at Sthree	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4163267&trk=api*a225514*s233466*	San Francisco, CA
4163240	RE-12437182	True	2012	11	13	2012	12	13	1352800019000	1355392019000	1012623	Real Staffing	Non-Clinical Statistician	us	United States	[{"code": "sci", "name": "Science"}, {"code": "rsch", "name": "Research"}, {"code": "qa", "name": "Quality Assurance"}]	[{"code": "12", "id": 12, "name": "Biotechnology"}, {"code": "15", "id": 15, "name": "Pharmaceuticals"}, {"code": "17", "id": 17, "name": "Medical Devices"}]	C	Contract	0	Not Applicable	NA	NA	Nonclincial Statistician<br><br>-Provide statistical expertise to multiple nonclinical areas, including projects in research, preclinical studies, assay development, bioprocess development, quality control, and manufacturing.<br><br>-Propose experimental design and analysis strategies, perform statistical analyses, and collaborate with investigators to ensure the statistical integrity of nonclinical reports.<br><br>-Support regulatory submissions and investigations.<br><br>-Validate results analysis<br><br>-Build strategic partnerships with collaborators and promote statistical thinking in decision making in nonclinical areas of drug development.<br><br>Qualifications<br><br>-Ph.D. in statistics or biostatistics with at least 2 years of experience or a Master's Degree in statistics or biostatistics with at least 5 years of experience in nonclinical statistics.<br><br>-Excellent understanding of theoretical and applied statistics.<br><br>-Statistical consulting skills.<br><br>-Experience with statistical software packages such as R, S-Plus, SAS, and JMP.<br><br>-Effective collaboration and communication skills.<br><br>-Ability to work on multiple projects.<br><br>To find out more about Real Staffing please visit www.realstaffing.com	NA	0LLhZ_akiB	Nikki	H.	Media Strategy Manager at Sthree	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4163240&trk=api*a225514*s233466*	USA
4163237	RE-12424885	True	2012	11	13	2012	12	13	1352800014000	1355392015000	1012623	Real Staffing	Biostatistician	us	United States	[{"code": "sci", "name": "Science"}, {"code": "rsch", "name": "Research"}, {"code": "qa", "name": "Quality Assurance"}]	[{"code": "12", "id": 12, "name": "Biotechnology"}, {"code": "15", "id": 15, "name": "Pharmaceuticals"}, {"code": "17", "id": 17, "name": "Medical Devices"}]	C	Contract	0	Not Applicable	NA	NA	BIOSTATISTICIAN<br><br>* Work with the clinical study team on study design, development and/or review of clinical study protocols.<br><br>* Develop and/or review statistical analysis plans, including Table/listing/figure shells, and final study report for clinical studies; perform post-hoc statistical analyses as needed.<br><br>* Work with the project statistician and clinical data managers on design/review of case report form, data transfer specification, edit check specification, and participation in user acceptance testing (UAT); generate/review data tables/listings and coordinate data review meetings during the course of the study to ensure data quality.<br><br>* Oversee CRO programming activities, perform quality assurance checks on internally or externally produced SAS tables, listings, and figures, ensure the quality of CRO deliverables.<br><br>* May work with the Health Outcome team on the design/analysis/validation of projects.<br><br>* May work on submission teams as a statistician and/or a programmer.<br><br>QUALIFICATIONS NEEDED: <br>* Must have a MS in Biostatistics/Statistics with at least 5 years of experience or a PhD in Biostatistics/ Statistics with at least 3 years of experience in the pharmaceutical, CRO or biotech industry.<br><br>* Oncology experience is highly preferred.<br><br>* Strong teamwork ability/commitment and individual initiative.<br><br>* Strong organizational skills with ability to effectively manage multiple projects.<br><br>To find out more about Real Staffing please visit www.realstaffing.com	NA	0LLhZ_akiB	Nikki	H.	Media Strategy Manager at Sthree	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4163237&trk=api*a225514*s233466*	Central, NJ
4163236	RE-12427303	True	2012	11	13	2012	12	13	1352800013000	1355392013000	1012623	Real Staffing	HEOR Statistician	us	United States	[{"code": "sci", "name": "Science"}, {"code": "rsch", "name": "Research"}, {"code": "qa", "name": "Quality Assurance"}]	[{"code": "12", "id": 12, "name": "Biotechnology"}, {"code": "15", "id": 15, "name": "Pharmaceuticals"}, {"code": "17", "id": 17, "name": "Medical Devices"}]	C	Contract	0	Not Applicable	NA	NA	HEOR STATISTICIAN<br><br>- Develop models to assess the health economic viability of pre-clinical candidates;<br><br>- Lead in the design, analysis and reporting of health economic data from randomized clinical trials;<br><br>- Develop health economic models and adapt them per local guidelines to support reimbursement needs;<br><br>- Prepare oral presentations and/or written reports to communicate results of economic evaluations;<br><br>- Provide technical review of models developed by other HEOR members and external researchers;<br><br>- Mentor staff on technical issues related to model development and/or conducting economic evaluations<br><br>- Identify and pursue solutions to methodological issues arising in health economic evaluations<br><br>Qualifications<br><br>- PhD in Economics, Health Economics, Health Services Research, Operations Research, Statistics or relevant quantitative field.<br><br>Required:<br><br>-At least 3 years of related experience, with demonstrated ability to conduct independent research<br><br>-Outstanding quantitative and computer programming skills, including knowledge in model-building software<br><br>-Strong oral and written communication skills, with demonstrated ability to present technical information to diverse audiences<br><br>-Ability to collaborate effectively with others, with strong team-building and interpersonal capabilities<br><br>Preferred:<br><br>- Experience in conducting economic evaluations alongside randomized clinical trials<br><br>- Experience in conducting research with observational databases<br><br>- Experience in development of medical decision analytic models<br><br>To find out more about Real Staffing please visit www.realstaffing.com	NA	0LLhZ_akiB	Nikki	H.	Media Strategy Manager at Sthree	NA	http://www.linkedin.com/jobs?viewJob=&jobId=4163236&trk=api*a225514*s233466*	Central, NJ
